Country,City-UTF8,City-ASCII,Population,Latitude,Longitude
TR,Istanbul,Istanbul,14804116,41.01384,28.94966
RU,Moscow,Moscow,10381222,55.75222,37.61556
GB,London,London,7556900,51.50853,-0.12574
RU,Saint Petersburg,Saint Petersburg,5028000,59.93863,30.31413
TR,Ankara,Ankara,3517182,39.91987,32.85427
DE,Berlin,Berlin,3426354,52.52437,13.41053
ES,Madrid,Madrid,3255944,40.4165,-3.70256
UA,Kyiv,Kyiv,2797553,50.45466,30.5238
TR,İzmir,Izmir,2500603,38.41273,27.13838
IT,Rome,Rome,2318895,41.89193,12.51133
FR,Paris,Paris,2138551,48.85341,2.3488
RO,Bucharest,Bucharest,1877155,44.43225,26.10626
BY,Minsk,Minsk,1742124,53.9,27.56667
HU,Budapest,Budapest,1741041,47.49801,19.03991
DE,Hamburg,Hamburg,1739117,53.57532,10.01534
PL,Warsaw,Warsaw,1702139,52.22977,21.01178
AT,Vienna,Vienna,1691468,48.20849,16.37208
ES,Barcelona,Barcelona,1621537,41.38879,2.15899
SE,Stockholm,Stockholm,1515017,59.33258,18.0649
UA,Kharkiv,Kharkiv,1430885,49.98081,36.25272
RU,Nizhniy Novgorod,Nizhniy Novgorod,1284164,56.32867,44.00205
DE,Munich,Munich,1260391,48.13743,11.57549
TR,Adana,Adana,1248988,37.00167,35.32889
IT,Milan,Milan,1236837,45.46427,9.18951
CZ,Prague,Prague,1165581,50.08804,14.42076
DK,Copenhagen,Copenhagen,1153615,55.67594,12.56553
BG,Sofia,Sofia,1152556,42.69751,23.32415
RU,Samara,Samara,1134730,53.20007,50.15
RU,Kazan,Kazan,1104738,55.78874,49.12214
RU,Rostov-na-Donu,Rostov-na-Donu,1074482,47.23135,39.72328
TR,Gaziantep,Gaziantep,1065975,37.05944,37.3825
RU,Ufa,Ufa,1033338,54.74306,55.96779
UA,Dnipro,Dnipro,1032822,48.4593,35.03865
UA,Donetsk,Donetsk,1024700,48.023,37.80224
IE,Dublin,Dublin,1024027,53.33306,-6.24889
BE,Brussels,Brussels,1019022,50.85045,4.34878
RU,Volgograd,Volgograd,1011417,48.71939,44.50183
UA,Odessa,Odessa,1001558,46.47747,30.73262
GB,Birmingham,Birmingham,984333,52.48142,-1.89983
RU,Perm,Perm,982419,58.01046,56.25017
DE,Köln,Koeln,963395,50.93333,6.95
IT,Naples,Naples,959470,40.85216,14.26811
TR,Konya,Konya,875530,37.87135,32.48464
IT,Turin,Turin,870456,45.07049,7.68682
GB,Liverpool,Liverpool,864122,53.41058,-2.97794
RU,Saratov,Saratov,863725,51.54056,46.00861
RU,Voronezh,Voronezh,848752,51.67204,39.1843
ES,Valencia,Valencia,814208,39.46975,-0.37739
FR,Marseille,Marseille,794811,43.29695,5.38107
PL,Łódź,Lodz,768755,51.77058,19.47395
TR,Antalya,Antalya,758188,36.90812,30.69556
PL,Kraków,Krakow,755050,50.06143,19.93658
LV,Riga,Riga,742572,56.946,24.10589
NL,Amsterdam,Amsterdam,741636,52.37403,4.88969
UA,Lviv,Lviv,717803,49.83826,24.02324
ES,Sevilla,Sevilla,703206,37.38283,-5.97317
HR,Zagreb,Zagreb,698966,45.81444,15.97798
BA,Sarajevo,Sarajevo,696731,43.84864,18.35644
GB,Sheffield,Sheffield,685368,53.38297,-1.4659
ES,Zaragoza,Zaragoza,674317,41.65606,-0.87734
GR,Athens,Athens,664046,37.97945,23.71622
UA,Kryvyi Rih,Kryvyi Rih,652380,47.90966,33.38044
DE,Frankfurt am Main,Frankfurt am Main,650000,50.11552,8.68417
RU,Krasnodar,Krasnodar,649851,45.04484,38.97603
IT,Palermo,Palermo,648260,38.13205,13.33561
TR,Diyarbakır,Diyarbakir,644763,37.91363,40.21721
RU,Ulyanovsk,Ulyanovsk,640680,54.32824,48.38657
MD,Chisinau,Chisinau,635994,47.00556,28.8575
PL,Wrocław,Wroclaw,634893,51.1,17.03333
RU,Izhevsk,Izhevsk,631038,56.84976,53.20448
GB,Bristol,Bristol,617280,51.45523,-2.59665
RU,Yaroslavl,Yaroslavl,606730,57.62987,39.87368
TR,Kayseri,Kayseri,592840,38.73222,35.48528
GB,Glasgow,Glasgow,591620,55.86515,-4.25763
DE,Stuttgart,Stuttgart,589793,48.78232,9.17702
IT,Genoa,Genoa,580223,44.40478,8.94439
NO,Oslo,Oslo,580000,59.91273,10.74609
SE,Göteborg,Goeteborg,572799,57.70716,11.96679
PL,Poznań,Poznan,570352,52.40692,16.92993
ES,Málaga,Malaga,568305,36.72016,-4.42034
FI,Helsinki,Helsinki,558457,60.16952,24.93545
RU,Orenburg,Orenburg,550204,51.7727,55.0988
